detector_a_name,detector_b_name,detector_a_time_tag,detector_b_time_tag,timestamp,tomography_setting_t,tomography_setting_r,data_dir
9,12,2554326309950143488,2554326309950143488,2025-06-18--18h-08m-20s,H,H,2025-06-18--18h-07m-38s
4,9,2554326309957804544,2554326309957804544,2025-06-18--18h-08m-21s,H,H,2025-06-18--18h-07m-38s
1,4,2554326309958311936,2554326309958311936,2025-06-18--18h-08m-21s,H,H,2025-06-18--18h-07m-38s
1,12,2554326309964832768,2554326309964832768,2025-06-18--18h-08m-20s,H,H,2025-06-18--18h-07m-38s
4,12,2554326309966573056,2554326309966573056,2025-06-18--18h-08m-21s,H,H,2025-06-18--18h-07m-38s
1,12,2554326309985187328,2554326309985187328,2025-06-18--18h-08m-20s,H,H,2025-06-18--18h-07m-38s
4,12,2554326309985487872,2554326309985487872,2025-06-18--18h-08m-21s,H,H,2025-06-18--18h-07m-38s
9,12,2554326309994240000,2554326309994240000,2025-06-18--18h-08m-20s,H,H,2025-06-18--18h-07m-38s
1,12,2554326309998150144,2554326309998150144,2025-06-18--18h-08m-20s,H,H,2025-06-18--18h-07m-38s
1,12,2554326310015492608,2554326310015492608,2025-06-18--18h-08m-20s,H,H,2025-06-18--18h-07m-38s
1,12,2554326310028822016,2554326310028822016,2025-06-18--18h-08m-20s,H,H,2025-06-18--18h-07m-38s
1,4,2554326310029809664,2554326310029809664,2025-06-18--18h-08m-21s,H,H,2025-06-18--18h-07m-38s
4,12,2554326310033693184,2554326310033693184,2025-06-18--18h-08m-21s,H,H,2025-06-18--18h-07m-38s
1,12,2554326310035318784,2554326310035318784,2025-06-18--18h-08m-20s,H,H,2025-06-18--18h-07m-38s
9,12,2554326310036136448,2554326310036136448,2025-06-18--18h-08m-20s,H,H,2025-06-18--18h-07m-38s
9,12,2554326310037424128,2554326310037424128,2025-06-18--18h-08m-20s,H,H,2025-06-18--18h-07m-38s
4,12,2554326310043149312,2554326310043149312,2025-06-18--18h-08m-21s,H,H,2025-06-18--18h-07m-38s
1,4,2554326310046965760,2554326310046965760,2025-06-18--18h-08m-21s,H,H,2025-06-18--18h-07m-38s
9,12,2554326310048379904,2554326310048379904,2025-06-18--18h-08m-20s,H,H,2025-06-18--18h-07m-38s
1,4,2554326310050348032,2554326310050348032,2025-06-18--18h-08m-21s,H,H,2025-06-18--18h-07m-38s
1,12,2554326310052126208,2554326310052126208,2025-06-18--18h-08m-20s,H,H,2025-06-18--18h-07m-38s
4,9,2554326310054364160,2554326310054364160,2025-06-18--18h-08m-21s,H,H,2025-06-18--18h-07m-38s
4,12,2554326310065887744,2554326310065887744,2025-06-18--18h-08m-21s,H,H,2025-06-18--18h-07m-38s
1,4,2554326310073545216,2554326310073545216,2025-06-18--18h-08m-21s,H,H,2025-06-18--18h-07m-38s
4,12,2554326310088672256,2554326310088672256,2025-06-18--18h-08m-21s,H,H,2025-06-18--18h-07m-38s
4,9,2554326310090518016,2554326310090518016,2025-06-18--18h-08m-21s,H,H,2025-06-18--18h-07m-38s
1,9,2554326310091704832,2554326310091704832,2025-06-18--18h-08m-20s,H,H,2025-06-18--18h-07m-38s
1,4,2554326310093049856,2554326310093049856,2025-06-18--18h-08m-21s,H,H,2025-06-18--18h-07m-38s
4,12,2554326310100466176,2554326310100466176,2025-06-18--18h-08m-21s,H,H,2025-06-18--18h-07m-38s
1,9,2554326310104349696,2554326310104349696,2025-06-18--18h-08m-20s,H,H,2025-06-18--18h-07m-38s
1,12,2554326310142636032,2554326310142636032,2025-06-18--18h-08m-20s,H,H,2025-06-18--18h-07m-38s
1,4,2554326310158251008,2554326310158251008,2025-06-18--18h-08m-21s,H,H,2025-06-18--18h-07m-38s
4,9,2554326310162500096,2554326310162500096,2025-06-18--18h-08m-21s,H,H,2025-06-18--18h-07m-38s
1,9,2554326310180009984,2554326310180009984,2025-06-18--18h-08m-20s,H,H,2025-06-18--18h-07m-38s
9,12,2554326310183153664,2554326310183153664,2025-06-18--18h-08m-20s,H,H,2025-06-18--18h-07m-38s
4,9,2554326310186257408,2554326310186257408,2025-06-18--18h-08m-21s,H,H,2025-06-18--18h-07m-38s
4,9,2554326310186621440,2554326310186621440,2025-06-18--18h-08m-21s,H,H,2025-06-18--18h-07m-38s
4,12,2554326310186717184,2554326310186717184,2025-06-18--18h-08m-21s,H,H,2025-06-18--18h-07m-38s
1,12,2554326310197870592,2554326310197870592,2025-06-18--18h-08m-20s,H,H,2025-06-18--18h-07m-38s
4,9,2554326310210456064,2554326310210456064,2025-06-18--18h-08m-21s,H,H,2025-06-18--18h-07m-38s
1,12,2554326310220723712,2554326310220723712,2025-06-18--18h-08m-20s,H,H,2025-06-18--18h-07m-38s
4,9,2554326310222468096,2554326310222468096,2025-06-18--18h-08m-21s,H,H,2025-06-18--18h-07m-38s
1,9,2554326310248357888,2554326310248357888,2025-06-18--18h-08m-20s,H,H,2025-06-18--18h-07m-38s
9,12,2554326310256772096,2554326310256772096,2025-06-18--18h-08m-20s,H,H,2025-06-18--18h-07m-38s
4,12,2554326310259068928,2554326310259068928,2025-06-18--18h-08m-21s,H,H,2025-06-18--18h-07m-38s
4,9,2554326310261962752,2554326310261962752,2025-06-18--18h-08m-21s,H,H,2025-06-18--18h-07m-38s
1,4,2554326310266658304,2554326310266658304,2025-06-18--18h-08m-21s,H,H,2025-06-18--18h-07m-38s
4,9,2554326310270140416,2554326310270140416,2025-06-18--18h-08m-21s,H,H,2025-06-18--18h-07m-38s
1,12,2554326310275032576,2554326310275032576,2025-06-18--18h-08m-20s,H,H,2025-06-18--18h-07m-38s
1,4,2554326310284584448,2554326310284584448,2025-06-18--18h-08m-21s,H,H,2025-06-18--18h-07m-38s
1,12,2554326310304344064,2554326310304344064,2025-06-18--18h-08m-20s,H,H,2025-06-18--18h-07m-38s
1,12,2554326310308893696,2554326310308893696,2025-06-18--18h-08m-20s,H,H,2025-06-18--18h-07m-38s
1,12,2554326310320536064,2554326310320536064,2025-06-18--18h-08m-20s,H,H,2025-06-18--18h-07m-38s
4,9,2554326310344502272,2554326310344502272,2025-06-18--18h-08m-21s,H,H,2025-06-18--18h-07m-38s
1,12,2554326310344516096,2554326310344516096,2025-06-18--18h-08m-20s,H,H,2025-06-18--18h-07m-38s
1,4,2554326310349780480,2554326310349780480,2025-06-18--18h-08m-21s,H,H,2025-06-18--18h-07m-38s
4,9,2554326310350003712,2554326310350003712,2025-06-18--18h-08m-21s,H,H,2025-06-18--18h-07m-38s
1,4,2554326310352017920,2554326310352017920,2025-06-18--18h-08m-21s,H,H,2025-06-18--18h-07m-38s
9,12,2554326310354223616,2554326310354223616,2025-06-18--18h-08m-20s,H,H,2025-06-18--18h-07m-38s
1,9,2554326310363962368,2554326310363962368,2025-06-18--18h-08m-20s,H,H,2025-06-18--18h-07m-38s
9,12,2554326310371399168,2554326310371399168,2025-06-18--18h-08m-20s,H,H,2025-06-18--18h-07m-38s
4,9,2554326310373685248,2554326310373685248,2025-06-18--18h-08m-21s,H,H,2025-06-18--18h-07m-38s
4,9,2554326310381019648,2554326310381019648,2025-06-18--18h-08m-21s,H,H,2025-06-18--18h-07m-38s
