data_dir,C',SB,VV,HH,N
2025-06-20--23h-02m-38s,49.0,0.0,104.0,7.0,160.0
2025-06-20--23h-02m-38s,37.0,0.0,118.0,5.0,160.0
2025-06-20--23h-02m-38s,31.0,0.0,125.0,4.0,160.0
2025-06-20--23h-02m-38s,36.0,0.0,116.0,8.0,160.0
2025-06-20--23h-02m-38s,40.0,1.0,116.0,3.0,160.0
2025-06-20--23h-02m-38s,40.0,1.0,115.0,4.0,160.0
2025-06-20--23h-02m-38s,49.0,1.0,108.0,2.0,160.0
2025-06-20--23h-02m-38s,46.0,0.0,107.0,7.0,160.0
2025-06-20--23h-02m-38s,37.0,0.0,121.0,2.0,160.0
2025-06-20--23h-02m-38s,30.0,3.0,122.0,5.0,160.0
2025-06-20--23h-02m-38s,36.0,1.0,123.0,0.0,160.0
2025-06-20--23h-02m-38s,41.0,0.0,115.0,4.0,160.0
2025-06-20--23h-02m-38s,38.0,0.0,119.0,3.0,160.0
2025-06-20--23h-02m-38s,37.0,0.0,116.0,7.0,160.0
2025-06-20--23h-02m-38s,53.0,1.0,103.0,3.0,160.0
2025-06-20--23h-02m-38s,40.0,0.0,118.0,2.0,160.0
2025-06-20--23h-02m-38s,37.0,0.0,116.0,7.0,160.0
2025-06-20--23h-02m-38s,55.0,0.0,100.0,5.0,160.0
2025-06-20--23h-02m-38s,38.0,0.0,119.0,3.0,160.0
2025-06-20--23h-02m-38s,38.0,1.0,118.0,3.0,160.0
2025-06-20--23h-02m-38s,41.0,0.0,112.0,7.0,160.0
2025-06-20--23h-02m-38s,46.0,1.0,107.0,6.0,160.0
2025-06-20--23h-02m-38s,35.0,0.0,122.0,3.0,160.0
2025-06-20--23h-02m-38s,37.0,1.0,121.0,1.0,160.0
2025-06-20--23h-02m-38s,30.0,0.0,126.0,4.0,160.0
2025-06-20--23h-02m-38s,43.0,1.0,112.0,4.0,160.0
2025-06-20--23h-02m-38s,36.0,1.0,118.0,5.0,160.0
2025-06-20--23h-02m-38s,33.0,1.0,124.0,2.0,160.0
2025-06-20--23h-02m-38s,43.0,0.0,116.0,1.0,160.0
2025-06-20--23h-02m-38s,38.0,1.0,116.0,5.0,160.0
2025-06-20--23h-02m-38s,36.0,2.0,118.0,4.0,160.0
2025-06-20--23h-02m-38s,30.0,1.0,125.0,4.0,160.0
2025-06-20--23h-02m-38s,35.0,0.0,118.0,7.0,160.0
2025-06-20--23h-02m-38s,39.0,2.0,115.0,4.0,160.0
2025-06-20--23h-02m-38s,38.0,0.0,119.0,3.0,160.0
2025-06-20--23h-02m-38s,46.0,2.0,108.0,4.0,160.0
2025-06-20--23h-02m-38s,43.0,2.0,112.0,3.0,160.0
2025-06-20--23h-02m-38s,44.0,2.0,112.0,2.0,160.0
2025-06-20--23h-02m-38s,40.0,3.0,113.0,4.0,160.0
2025-06-20--23h-02m-38s,38.0,0.0,119.0,3.0,160.0
2025-06-20--23h-02m-38s,31.0,0.0,125.0,4.0,160.0
2025-06-20--23h-02m-38s,45.0,3.0,107.0,5.0,160.0
2025-06-20--23h-02m-38s,30.0,1.0,128.0,1.0,160.0
2025-06-20--23h-02m-38s,31.0,0.0,126.0,3.0,160.0
2025-06-20--23h-02m-38s,41.0,1.0,117.0,1.0,160.0
2025-06-20--23h-02m-38s,42.0,2.0,113.0,3.0,160.0
2025-06-20--23h-02m-38s,43.0,0.0,110.0,7.0,160.0
2025-06-20--23h-02m-38s,33.0,2.0,122.0,3.0,160.0
2025-06-20--23h-02m-38s,34.0,2.0,120.0,4.0,160.0
2025-06-20--23h-02m-38s,34.0,0.0,120.0,6.0,160.0
2025-06-20--23h-02m-38s,43.0,1.0,115.0,1.0,160.0
2025-06-20--23h-02m-38s,51.0,1.0,104.0,4.0,160.0
2025-06-20--23h-02m-38s,31.0,2.0,124.0,3.0,160.0
2025-06-20--23h-02m-38s,30.0,0.0,127.0,3.0,160.0
2025-06-20--23h-02m-38s,36.0,0.0,120.0,4.0,160.0
2025-06-20--23h-02m-38s,42.0,0.0,114.0,4.0,160.0
2025-06-20--23h-02m-38s,35.0,1.0,121.0,3.0,160.0
2025-06-20--23h-02m-38s,35.0,2.0,120.0,3.0,160.0
2025-06-20--23h-02m-38s,35.0,0.0,123.0,2.0,160.0
2025-06-20--23h-02m-38s,35.0,1.0,118.0,6.0,160.0
2025-06-20--23h-02m-38s,34.0,1.0,120.0,5.0,160.0
2025-06-20--23h-02m-38s,38.0,1.0,121.0,0.0,160.0
2025-06-20--23h-02m-38s,43.0,0.0,113.0,4.0,160.0
2025-06-20--23h-02m-38s,35.0,0.0,117.0,8.0,160.0
2025-06-20--23h-02m-38s,43.0,1.0,114.0,2.0,160.0
2025-06-20--23h-02m-38s,40.0,2.0,111.0,7.0,160.0
2025-06-20--23h-02m-38s,33.0,0.0,121.0,6.0,160.0
2025-06-20--23h-02m-38s,31.0,0.0,122.0,7.0,160.0
2025-06-20--23h-02m-38s,24.0,0.0,133.0,3.0,160.0
