data_dir,C,SB,DB_V,DB_H,N
2025-06-03--11h-40m-23s,38.0,43.0,69.0,10.0,160.0
2025-06-03--11h-40m-23s,32.0,38.0,69.0,21.0,160.0
2025-06-03--11h-40m-23s,41.0,34.0,74.0,11.0,160.0
2025-06-03--11h-40m-23s,28.0,49.0,76.0,7.0,160.0
2025-06-03--11h-40m-23s,27.0,36.0,83.0,14.0,160.0
2025-06-03--11h-40m-23s,33.0,37.0,75.0,15.0,160.0
2025-06-03--11h-40m-23s,38.0,26.0,82.0,14.0,160.0
2025-06-03--11h-40m-23s,28.0,36.0,86.0,10.0,160.0
2025-06-03--11h-40m-23s,38.0,37.0,69.0,16.0,160.0
2025-06-03--11h-40m-23s,30.0,41.0,75.0,14.0,160.0
2025-06-03--11h-40m-23s,37.0,39.0,72.0,12.0,160.0
2025-06-03--11h-40m-23s,36.0,36.0,69.0,19.0,160.0
2025-06-03--11h-40m-23s,29.0,52.0,65.0,14.0,160.0
2025-06-03--11h-40m-23s,45.0,38.0,65.0,12.0,160.0
2025-06-03--11h-40m-23s,37.0,45.0,60.0,18.0,160.0
2025-06-03--11h-40m-23s,45.0,29.0,76.0,10.0,160.0
2025-06-03--11h-40m-23s,35.0,40.0,76.0,9.0,160.0
2025-06-03--11h-40m-23s,38.0,33.0,74.0,15.0,160.0
2025-06-03--11h-40m-23s,34.0,32.0,82.0,12.0,160.0
2025-06-03--11h-40m-23s,47.0,35.0,69.0,9.0,160.0
2025-06-03--11h-40m-23s,38.0,34.0,71.0,17.0,160.0
2025-06-03--11h-40m-23s,34.0,36.0,77.0,13.0,160.0
2025-06-03--11h-40m-23s,35.0,38.0,72.0,15.0,160.0
2025-06-03--11h-40m-23s,31.0,31.0,80.0,18.0,160.0
2025-06-03--11h-40m-23s,37.0,33.0,70.0,20.0,160.0
2025-06-03--11h-40m-23s,21.0,44.0,70.0,25.0,160.0
2025-06-03--11h-40m-23s,29.0,33.0,81.0,17.0,160.0
2025-06-03--11h-40m-23s,42.0,34.0,76.0,8.0,160.0
2025-06-03--11h-40m-23s,33.0,39.0,73.0,15.0,160.0
2025-06-03--11h-40m-23s,34.0,39.0,75.0,12.0,160.0
2025-06-03--11h-40m-23s,27.0,26.0,89.0,18.0,160.0
2025-06-03--11h-40m-23s,31.0,41.0,73.0,15.0,160.0
2025-06-03--11h-40m-23s,29.0,35.0,78.0,18.0,160.0
2025-06-03--11h-40m-23s,30.0,41.0,69.0,20.0,160.0
2025-06-03--11h-40m-23s,43.0,28.0,74.0,15.0,160.0
2025-06-03--11h-40m-23s,36.0,38.0,69.0,17.0,160.0
2025-06-03--11h-40m-23s,45.0,32.0,69.0,14.0,160.0
2025-06-03--11h-40m-23s,36.0,39.0,69.0,16.0,160.0
2025-06-03--11h-40m-23s,31.0,42.0,74.0,13.0,160.0
2025-06-03--11h-40m-23s,36.0,30.0,73.0,21.0,160.0
2025-06-03--11h-40m-23s,34.0,39.0,68.0,19.0,160.0
2025-06-03--11h-40m-23s,39.0,41.0,64.0,16.0,160.0
2025-06-03--11h-40m-23s,36.0,46.0,69.0,9.0,160.0
2025-06-03--11h-40m-23s,35.0,35.0,75.0,15.0,160.0
2025-06-03--11h-40m-23s,40.0,32.0,72.0,16.0,160.0
2025-06-03--11h-40m-23s,34.0,37.0,74.0,15.0,160.0
2025-06-03--11h-40m-23s,30.0,38.0,77.0,15.0,160.0
2025-06-03--11h-40m-23s,37.0,37.0,67.0,19.0,160.0
