data_dir,C,DB_H,DB_V,SB,N,theta_estimate,delta_phi_estimate
2025-05-23--18h-27m-01s,1.0,16.0,25.0,38.0,80.0,1.685259305751304,0.15846617593887855
2025-05-23--18h-27m-01s,0.5,15.0,27.0,37.5,80.0,1.7236754105760652,0.11326395830626709
2025-05-23--18h-27m-01s,1.5,9.0,32.0,37.5,80.0,1.8669862578349514,0.1945306253576709
2025-05-23--18h-27m-01s,0.5,10.0,30.0,39.5,80.0,1.8274105528289257,0.11038311339106556
2025-05-23--18h-27m-01s,1.5,20.0,30.0,28.5,80.0,1.6980429924657525,0.2222659806251162
2025-05-23--18h-27m-01s,2.0,12.0,27.0,39.0,80.0,1.7623204087099549,0.21948970888166994
2025-05-23--18h-27m-01s,2.5,7.0,32.0,38.5,80.0,1.8936339713622834,0.24594735447143898
2025-05-23--18h-27m-01s,1.5,10.0,32.0,36.5,80.0,1.8537445165690392,0.1971098350241604
2025-05-23--18h-27m-01s,0.0,12.0,30.0,38.0,80.0,1.8012573642211054,0.0
2025-05-23--18h-27m-01s,1.5,21.0,26.0,31.5,80.0,1.6342907582654644,0.2117463452419459
2025-05-23--18h-27m-01s,0.5,16.0,34.0,29.5,80.0,1.8012573642211054,0.1275542022657153
2025-05-23--18h-27m-01s,3.0,9.0,30.0,38.0,80.0,1.8405535648445337,0.27003168510519326
2025-05-23--18h-27m-01s,1.5,17.0,31.0,30.5,80.0,1.7494094936123683,0.2150851870417217
2025-05-23--18h-27m-01s,2.5,13.0,38.0,26.5,80.0,1.8936339713622834,0.2938169403638879
2025-05-23--18h-27m-01s,0.5,23.0,28.0,28.5,80.0,1.6342907582654644,0.12974809628614278
2025-05-23--18h-27m-01s,3.0,13.0,33.0,31.0,80.0,1.8274105528289257,0.2973670565919592
2025-05-23--18h-27m-01s,0.0,14.0,31.0,35.0,80.0,1.7882418850429336,0.0
2025-05-23--18h-27m-01s,0.0,17.0,30.0,33.0,80.0,1.7365286047356838,0.0
