detector_a_name,detector_b_name,estimation_label,repetition,coincidences,timestamp
7,10,C,17,0,2025-05-23--16h-55m-26s-763674
2,9,C,17,0,2025-05-23--16h-55m-26s-763674
2,12,C,17,0,2025-05-23--16h-55m-26s-763674
2,11,C,17,0,2025-05-23--16h-55m-26s-763674
2,10,C,17,0,2025-05-23--16h-55m-26s-763674
2,4,SB,17,0,2025-05-23--16h-55m-26s-763674
2,7,DB_V,17,0,2025-05-23--16h-55m-26s-763674
9,12,DB_H,19,0,2025-05-23--16h-55m-26s-803048
9,11,SB,19,1,2025-05-23--16h-55m-26s-803048
9,10,SB,19,0,2025-05-23--16h-55m-26s-803048
11,12,SB,19,0,2025-05-23--16h-55m-26s-803048
10,12,SB,19,0,2025-05-23--16h-55m-26s-803048
10,11,DB_V,19,0,2025-05-23--16h-55m-26s-803048
1,9,C,19,0,2025-05-23--16h-55m-26s-803048
1,12,C,19,0,2025-05-23--16h-55m-26s-803048
1,11,C,19,0,2025-05-23--16h-55m-26s-803048
1,10,C,19,0,2025-05-23--16h-55m-26s-803048
1,4,DB_H,19,2,2025-05-23--16h-55m-26s-803048
1,7,SB,19,0,2025-05-23--16h-55m-26s-803048
1,2,SB,19,0,2025-05-23--16h-55m-26s-803048
4,9,C,19,0,2025-05-23--16h-55m-26s-803048
4,12,C,19,0,2025-05-23--16h-55m-26s-803048
4,11,C,19,0,2025-05-23--16h-55m-26s-803048
4,10,C,19,0,2025-05-23--16h-55m-26s-803048
4,7,SB,19,0,2025-05-23--16h-55m-26s-803048
7,9,C,19,0,2025-05-23--16h-55m-26s-803048
7,12,C,19,0,2025-05-23--16h-55m-26s-803048
7,11,C,19,0,2025-05-23--16h-55m-26s-803048
7,10,C,19,0,2025-05-23--16h-55m-26s-803048
2,9,C,19,0,2025-05-23--16h-55m-26s-803048
2,12,C,19,0,2025-05-23--16h-55m-26s-803048
2,11,C,19,0,2025-05-23--16h-55m-26s-803048
2,10,C,19,0,2025-05-23--16h-55m-26s-803048
2,4,SB,19,0,2025-05-23--16h-55m-26s-803048
2,7,DB_V,19,0,2025-05-23--16h-55m-26s-803048
9,12,DB_H,22,1,2025-05-23--16h-55m-26s-858715
9,11,SB,22,0,2025-05-23--16h-55m-26s-858715
9,10,SB,22,0,2025-05-23--16h-55m-26s-858715
11,12,SB,22,0,2025-05-23--16h-55m-26s-858715
10,12,SB,22,1,2025-05-23--16h-55m-26s-858715
10,11,DB_V,22,0,2025-05-23--16h-55m-26s-858715
1,9,C,22,0,2025-05-23--16h-55m-26s-858715
1,12,C,22,0,2025-05-23--16h-55m-26s-858715
1,11,C,22,0,2025-05-23--16h-55m-26s-858715
1,10,C,22,0,2025-05-23--16h-55m-26s-858715
1,4,DB_H,22,1,2025-05-23--16h-55m-26s-858715
1,7,SB,22,0,2025-05-23--16h-55m-26s-858715
1,2,SB,22,0,2025-05-23--16h-55m-26s-858715
4,9,C,22,0,2025-05-23--16h-55m-26s-858715
4,12,C,22,0,2025-05-23--16h-55m-26s-858715
4,11,C,22,0,2025-05-23--16h-55m-26s-858715
4,10,C,22,0,2025-05-23--16h-55m-26s-858715
4,7,SB,22,0,2025-05-23--16h-55m-26s-858715
7,9,C,22,0,2025-05-23--16h-55m-26s-858715
7,12,C,22,0,2025-05-23--16h-55m-26s-858715
7,11,C,22,0,2025-05-23--16h-55m-26s-858715
7,10,C,22,0,2025-05-23--16h-55m-26s-858715
2,9,C,22,0,2025-05-23--16h-55m-26s-858715
2,12,C,22,0,2025-05-23--16h-55m-26s-858715
2,11,C,22,0,2025-05-23--16h-55m-26s-858715
2,10,C,22,0,2025-05-23--16h-55m-26s-858715
2,4,SB,22,0,2025-05-23--16h-55m-26s-858715
2,7,DB_V,22,0,2025-05-23--16h-55m-26s-858715
9,12,DB_H,23,1,2025-05-23--16h-55m-26s-879781
9,11,SB,23,0,2025-05-23--16h-55m-26s-879781
9,10,SB,23,0,2025-05-23--16h-55m-26s-879781
11,12,SB,23,1,2025-05-23--16h-55m-26s-879781
10,12,SB,23,0,2025-05-23--16h-55m-26s-879781
10,11,DB_V,23,0,2025-05-23--16h-55m-26s-879781
1,9,C,23,0,2025-05-23--16h-55m-26s-879781
1,12,C,23,0,2025-05-23--16h-55m-26s-879781
1,11,C,23,0,2025-05-23--16h-55m-26s-879781
1,10,C,23,0,2025-05-23--16h-55m-26s-879781
1,4,DB_H,23,0,2025-05-23--16h-55m-26s-879781
1,7,SB,23,0,2025-05-23--16h-55m-26s-879781
