delta_phi,theta,n,delta_phi_estimator_mean,delta_phi_estimator_variance
0.8450884238156544,0.7853981633974483,120,0.8461810472392536,0.008890335789217274
0.8482300164692442,0.7853981633974483,120,0.8493808982231287,0.00889131947656896
0.8513716091228339,0.7853981633974483,120,0.8525808665923901,0.008892357501093406
0.8545132017764238,0.7853981633974483,120,0.8557809586561912,0.00889345048123813
0.8576547944300136,0.7853981633974483,120,0.8589811807916616,0.008894599074525833
0.8607963870836034,0.7853981633974483,120,0.8621815394480451,0.008895803978980266
0.8639379797371931,0.7853981633974483,120,0.865382041150987,0.008897065934651893
0.8670795723907829,0.7853981633974483,120,0.8685826925069648,0.008898385725256364
0.8702211650443727,0.7853981633974483,120,0.8717835002078849,0.008899764179923442
0.8733627576979626,0.7853981633974483,120,0.874984471035853,0.008901202175069844
0.8765043503515524,0.7853981633974483,120,0.8781856118681303,0.008902700636398642
0.8796459430051421,0.7853981633974483,120,0.8813869296822858,0.008904260541031217
0.8827875356587319,0.7853981633974483,120,0.8845884315615615,0.008905882919784114
0.8859291283123217,0.7853981633974483,120,0.887790124700462,0.008907568859592763
0.8890707209659116,0.7853981633974483,120,0.8909920164105848,0.008909319506093083
0.8922123136195013,0.7853981633974483,120,0.8941941141267058,0.008911136066370062
0.8953539062730911,0.7853981633974483,120,0.8973964254131346,0.008913019811882639
0.8984954989266809,0.7853981633974483,120,0.9005989579703633,0.008914972081570549
0.9016370915802707,0.7853981633974483,120,0.9038017196420172,0.008916994285159019
0.9047786842338604,0.7853981633974483,120,0.9070047184221399,0.008919087906662182
0.9079202768874503,0.7853981633974483,120,0.910207962462815,0.008921254508112875
0.9110618695410401,0.7853981633974483,120,0.913411460082167,0.008923495733507703
0.9142034621946299,0.7853981633974483,120,0.9166152197727461,0.008925813312998132
0.9173450548482196,0.7853981633974483,120,0.91981925021033,0.008928209067328496
0.9204866475018094,0.7853981633974483,120,0.9230235602631675,0.008930684912539899
0.9236282401553992,0.7853981633974483,120,0.9262281590016845,0.008933242864947122
0.9267698328089891,0.7853981633974483,120,0.9294330557086863,0.008935885046406855
0.9299114254625788,0.7853981633974483,120,0.9326382598900824,0.008938613689887687
0.9330530181161686,0.7853981633974483,120,0.9358437812861646,0.008941431145357726
0.9361946107697584,0.7853981633974483,120,0.9390496298834698,0.008944339886004182
0.9393362034233482,0.7853981633974483,120,0.9422558159272616,0.008947342514797008
0.942477796076938,0.7853981633974483,120,0.9454623499346653,0.008950441771413908
0.9456193887305278,0.7853981633974483,120,0.9486692427084946,0.008953640539542618
0.9487609813841176,0.7853981633974483,120,0.9518765053518062,0.008956941854573741
0.9519025740377074,0.7853981633974483,120,0.9550841492832243,0.008960348911696059
0.9550441666912972,0.7853981633974483,120,0.9582921862530679,0.008963865074420263
0.9581857593448869,0.7853981633974483,120,0.9615006283603444,0.008967493883532573
0.9613273519984767,0.7853981633974483,120,0.9647094880706321,0.008971239066503989
0.9644689446520666,0.7853981633974483,120,0.9679187782349058,0.00897510454736472
0.9676105373056564,0.7853981633974483,120,0.9711285121093672,0.008979094457059134
0.9707521299592461,0.7853981633974483,120,0.9743387033763067,0.008983213144293067
0.9738937226128359,0.7853981633974483,120,0.977549366166067,0.008987465186892196
0.9770353152664257,0.7853981633974483,120,0.9807605150801537,0.00899185540367875
0.9801769079200155,0.7853981633974483,120,0.9839721652155491,0.008996388866875704
0.9833185005736053,0.7853981633974483,120,0.987184332190283,0.009001070915059306
0.9864600932271951,0.7853981633974483,120,0.9903970321703293,0.009005907166651617
0.9896016858807849,0.7853981633974483,120,0.9936102818978668,0.00901090353398215
0.9927432785343747,0.7853981633974483,120,0.9968240987209863,0.009016066237900189
0.9958848711879644,0.7853981633974483,120,1.0000385006248922,0.009021401822961517
0.9990264638415542,0.7853981633974483,120,1.0032535062646608,0.009026917173179383
1.002168056495144,0.7853981633974483,120,1.006469134999628,0.009032619528336783
1.0053096491487339,0.7853981633974483,120,1.0096854069294532,0.009038516500869731
1.0084512418023237,0.7853981633974483,120,1.0129023429319417,0.009044616093292213
1.0115928344559135,0.7853981633974483,120,1.0161199647026715,0.009050926716173802
1.0147344271095033,0.7853981633974483,120,1.0193382947964988,0.009057457206635533
1.017876019763093,0.7853981633974483,120,1.0225573566709962,0.009064216847364692
1.0210176124166828,0.7853981633974483,120,1.025777174731895,0.00907121538610034
1.0241592050702726,0.7853981633974483,120,1.0289977743805778,0.009078463055584463
1.0273007977238624,0.7853981633974483,120,1.0322191820636866,0.009085970593930348
1.0304423903774522,0.7853981633974483,120,1.035441425324902,0.009093749265368212
1.033583983031042,0.7853981633974483,120,1.0386645328589383,0.009101810881327221
1.0367255756846319,0.7853981633974483,120,1.0418885345678115,0.009110167821795967
1.0398671683382217,0.7853981633974483,120,1.0451134616194142,0.009118833056898534
1.0430087609918113,0.7853981633974483,120,1.048339346508442,0.009127820168622014
1.046150353645401,0.7853981633974483,120,1.051566223119706,0.009137143372614398
1.049291946298991,0.7853981633974483,120,1.0547941267938472,0.009146817539966934
1.0524335389525807,0.7853981633974483,120,1.0580230943954836,0.009156858218883679
1.0555751316061706,0.7853981633974483,120,1.0612531643837948,0.009167281656136783
