eta,theta,p_sb,p_c,p_db_h,p_db_v,delta
0.8150000000000001,1.3158173639283903,0.4054849231361625,0.035255269526025174,0.41225214513929165,0.14700766219852052,0.0
0.8150000000000001,1.3221131407892917,0.4069154275435196,0.035265210918488714,0.40836246026748724,0.14945690127050434,0.0
0.8150000000000001,1.328408917650193,0.40831391268439876,0.035274929790775005,0.4044811591464146,0.15192999837841142,0.0
0.8150000000000001,1.3347046945110943,0.4096801030354332,0.035284424228114564,0.4006085577571896,0.15442691497926245,0.0
0.8150000000000001,1.3410004713719959,0.4110137290386578,0.03529369235719529,0.3967449704447493,0.15694760815939768,0.0
0.8150000000000001,1.3472962482328972,0.4123145271824496,0.03530273234672411,0.39289070984973445,0.15949203062109166,0.0
0.8150000000000001,1.3535920250937985,0.4135822400809371,0.03531154240797952,0.3890460868405453,0.16206013067053804,0.0
0.8150000000000001,1.3598878019547,0.41481661655183194,0.03532012079535245,0.38521141044560175,0.16465185220721362,0.0
0.8150000000000001,1.3661835788156014,0.4160174116926439,0.03532846580687538,0.381386987785845,0.16726713471463564,0.0
0.8150000000000001,1.3724793556765027,0.4171843869552333,0.03533657578474126,0.3775731240075043,0.1699059132525211,0.0
0.8150000000000001,1.378775132537404,0.4183173102186624,0.03534444911580902,0.3737701222151704,0.17256811845035844,0.0
0.8150000000000001,1.3850709093983056,0.41941595586030117,0.03535208423209791,0.36997828340520195,0.17525367650239881,0.0
0.8150000000000001,1.391366686259207,0.4204801048251518,0.035359479611269756,0.36619790639950067,0.17796250916407758,0.0
0.8150000000000001,1.3976624631201082,0.42150954469334856,0.03536663377709742,0.3624292877796835,0.18069453374987068,0.0
0.8150000000000001,1.4039582399810098,0.4225040697457966,0.03537354529992141,0.3586727218216892,0.18344966313259273,0.0
0.8150000000000001,1.410254016841911,0.42346348102791354,0.03538021279709253,0.35492850043084956,0.1862278057441444,0.0
0.8150000000000001,1.4165497937028124,0.42438758641143404,0.035386634933402036,0.35119691307745354,0.18902886557771023,0.0
0.8150000000000001,1.4228455705637137,0.42527620065424554,0.03539281042149645,0.3474782467328437,0.1918527421914142,0.0
0.8150000000000001,1.4291413474246153,0.4261291454582166,0.03539873802227997,0.3437727858060699,0.19469933071343357,0.0
0.8150000000000001,1.4354371242855166,0.42694624952498816,0.035404416545302825,0.3400808120811359,0.1975685218485731,0.0
0.8150000000000001,1.441732901146418,0.4277273486096937,0.03540984484913347,0.3364026046548686,0.20046020188630412,0.0
0.8150000000000001,1.4480286780073195,0.4284722855725761,0.03541502184171755,0.332738439875442,0.20337425271026466,0.0
0.8150000000000001,1.4543244548682208,0.4291809104284716,0.035419946480723115,0.3290885912815851,0.20631055180922014,0.0
0.8150000000000001,1.4606202317291221,0.42985308039413456,0.03542461777386729,0.3254533295425085,0.2092689722894898,0.0
0.8150000000000001,1.4669160085900235,0.4304886599333692,0.03542903477923174,0.32183292239857236,0.21224938288882653,0.0
0.8150000000000001,1.473211785450925,0.4310875207999491,0.03543319660556058,0.3182276346027351,0.21525164799175525,0.0
0.8150000000000001,1.4795075623118263,0.43164954207829187,0.03543710241254165,0.3146377278628054,0.21827562764636088,0.0
0.8150000000000001,1.4858033391727277,0.4321746102218716,0.03544075141107589,0.3110634607845288,0.22132117758252406,0.0
0.8150000000000001,1.4920991160336292,0.4326626190893399,0.035444142863525784,0.30750508881553806,0.2243881492315961,0.0
0.8150000000000001,1.4983948928945305,0.43311346997834094,0.035447276083953046,0.3039628641901981,0.22747638974750808,0.0
0.8150000000000001,1.5046906697554319,0.4335270716569925,0.03545015043833458,0.30043703587536585,0.2305857420293073,0.0
0.8150000000000001,1.5109864466163332,0.4339033403930219,0.03545276534476702,0.29692784951710194,0.2337160447451088,0.0
0.8150000000000001,1.5172822234772347,0.4342421999805347,0.03545512027365245,0.2934355473883545,0.23686713235745835,0.0
0.8150000000000001,1.523578000338136,0.4345435817643997,0.03545721474786683,0.28996036833764344,0.24003883515008984,0.0
0.8150000000000001,1.5298737771990374,0.43480742466224037,0.035459048342913926,0.28650254773877165,0.24323097925607398,0.0
0.8150000000000001,1.536169554059939,0.43503367518401376,0.03546062068706077,0.2830623174415874,0.24644338668733803,0.0
0.8150000000000001,1.5424653309208403,0.4352222874491692,0.035461931461457555,0.27963990572382336,0.24967587536554972,0.0
0.8150000000000001,1.5487611077817416,0.4353732232013749,0.035462980400238556,0.2762355372440364,0.2529282591543502,0.0
0.8150000000000001,1.555056884642643,0.4354864518208028,0.03546376729060958,0.2728494329956684,0.25620034789291934,0.0
0.8150000000000001,1.5613526615035445,0.4355619503339666,0.035464291972914584,0.26948181026225737,0.2594919474308614,0.0
