delta_phi,E_nu_1.000,VarCRB_nu_1.000,E_nu_0.970,VarCRB_nu_0.970,E_nu_0.971,VarCRB_nu_0.971,E_nu_0.972,VarCRB_nu_0.972
0.782256570743859,-4.15460798286471e-05,1.04049056960939,-4.4342214505888e-05,1.04236789776571,-4.42443859006714e-05,1.04230215281058,-4.41468901258846e-05,1.0422366360841
0.785398163397448,-9.99200722162641e-16,1.04048868202167,-1.33226762955019e-15,1.04236561440161,-1.22124532708767e-15,1.04229988348469,-5.55111512312578e-16,1.04223438073478
0.788539756051038,4.1546079828314e-05,1.04049056960942,4.43422145062211e-05,1.04236789776566,4.42443859004493e-05,1.04230215281064,4.41468901257736e-05,1.04223663608418
0.791681348704628,8.30959810483867e-05,1.0404962331601,8.86892681101203e-05,1.04237474900329,8.8493574893822e-05,1.04230896192032,8.82985474881526e-05,1.04224340324979
0.794822941358218,0.00012465352660973,1.04050567503677,0.000133046002316561,1.042386171548,0.000132752372445588,1.04232031420773,0.000132459741666757,1.04225468558659
0.797964534011807,0.000166222542569927,1.04051889918111,0.000177417263437563,1.04240217112863,0.000177025588768753,1.04233621533504,0.000176635246923462,1.0422704886909
0.801106126665397,0.000207806859665038,1.04053591111652,0.000221807905012139,1.04242275577475,0.00022131804120662,1.04235667323834,0.000220829844560955,1.04229082040564
0.804247719318987,0.000249410314866472,1.04055671795509,0.00026622279022126,1.04244793582624,0.00026563455661921,1.04238169813781,0.000265048325267636,1.04231569083216
0.807389311972577,0.000291036752956164,1.04058132840468,0.000310666794322456,1.04247772394703,0.000309979973784791,1.04241130254961,0.000309295491498163,1.04234511233946
0.810530904626167,0.000332690028107541,1.04060975277729,0.000355144807092977,1.04251213513883,0.000354359145812944,1.04244550130033,0.000353576159845881,1.04237909958098
0.813672497279756,0.000374374005467693,1.04064200300261,0.000399661735293932,1.04255118676043,0.000398776942570289,1.04248431154605,0.000397895163440132,1.04241766951126
0.816814089933346,0.000416092562765757,1.04067809263727,0.000444222505145864,1.04259489854823,0.000443238253128642,1.04252775279218,0.000442257354363762,1.04246084140591
0.819955682586936,0.000457849591918635,1.04071803688296,0.000488832064835409,1.04264329264043,0.000487747988237253,1.04257584691696,0.000486667606084845,1.04250863688539
0.823097275240526,0.000499649000667346,1.04076185259956,0.000533495387042726,1.04269639360331,0.000532311082813819,1.04262861819754,0.000531130815920711,1.04256107993972
0.826238867894115,0.000541494714211166,1.04080955832577,0.000578217471491227,1.04275422846153,0.000576932498462579,1.04268609333948,0.000575651907519292,1.04261819695785
0.829380460547705,0.000583390676876627,1.04086117429894,0.000623003347538398,1.04281682673116,0.000621617226025606,1.04274830150929,0.000620235833374227,1.04268001675926
0.832522053201295,0.000625340853798728,1.04091672247605,0.000667858076789818,1.04288422045497,0.000666370288164631,1.042815274369,0.000664887577373596,1.04274657062741
0.835663645854885,0.000667349232622017,1.04097622655942,0.000712786755753703,1.04295644424179,0.000711196741976505,1.04288704611485,0.000709612157376194,1.04281789234861
0.838805238508475,0.000709419825229651,1.04103971202266,0.000757794518536747,1.04303353530885,0.000756101681655297,1.04296365351724,0.000754414627833544,1.04289401825131
0.841946831162064,0.000751556669501441,1.04110720613809,0.000802886539574055,1.04311553352658,0.000801090241174918,1.04304513596772,0.000799300082442889,1.04297498724996
0.845088423815654,0.000793763831087424,1.04117873801028,0.000848068036412686,1.04320248146811,0.000846167597040037,1.04313153552445,0.000844273656846806,1.0430608408925
0.848230016469244,0.000836045405225971,1.0412543386065,0.000893344272535734,1.04329442446053,0.000891338971069078,1.04322289696313,0.00088934053138523,1.04315162340761
0.851371609122834,0.000878405518584202,1.0413340407943,0.000938720560239026,1.04339141064091,0.000936609633222729,1.04331926783295,0.000934505933877228,1.04324738176067
0.854513201776424,0.000920848331137925,1.04141787937916,0.000984202263566658,1.04349349101405,0.000981984904501187,1.0434206985116,0.000979775142474493,1.04334816570733
0.857654794430013,0.000963378038086882,1.04150589114546,0.00102979480128806,1.04360071951633,0.00102747015987292,1.04352724226866,0.00102515348854848,1.04345402785514
0.860796387083603,0.00100599887180863,1.04159811490071,0.00107550364995279,1.04371315307978,0.00107307083128483,1.04363895532711,0.00107064635965004,1.04356502372427
0.863937979737193,0.00104871510385962,1.04169459152168,0.00112133434699246,1.04383085170259,0.00111879241071411,1.0437558969333,0.00111625920251268,1.04368121181531
0.867079572390783,0.00109153104701054,1.0417953640054,0.00116729249389025,1.04395387852169,0.00116464045328646,1.04387812942739,0.00116199752612756,1.04380265367773
0.870221165044373,0.00113445105734533,1.041900477522,0.00121338375942293,1.04408229989019,0.00121062058046728,1.04400571831794,0.0012078669048774,1.04392941398254
0.873362757697962,0.0011774795363928,1.04200997947173,0.00125961388296558,1.04421618545594,0.00125673848331231,1.04413873235984,0.00125387298173052,1.04406156059925
0.876504350351552,0.00122062093332864,1.04212391954491,0.00130598867786991,1.04435560824768,0.00130299992578731,1.04427724363675,0.00130002147150943,1.04419916467528
